epoch,train_loss,val_loss,valence_mae,valence_r2,arousal_mae,arousal_r2,rmse_valence,rmse_arousal,rmse_avg,pcc_valence,pcc_arousal,quadrant_acc,lr
1,0.103983,0.060288,0.188013,0.027175,0.216624,0.081578,0.229368,0.260704,0.245036,0.26374,0.494301,0.469732,4.411502280122755e-05
2,0.081297,0.045506,0.168023,0.191018,0.176994,0.361359,0.209163,0.217398,0.21328,0.447984,0.62969,0.53731,5.638953531884958e-05
3,0.068499,0.040471,0.156041,0.282029,0.164126,0.430907,0.197047,0.205219,0.201133,0.539485,0.679689,0.573404,7.661307964084915e-05
4,0.061321,0.037803,0.149343,0.33617,0.159843,0.463457,0.189472,0.199264,0.194368,0.585754,0.708288,0.589509,0.0001044389043255322
5,0.054456,0.036347,0.147778,0.354543,0.155748,0.489366,0.186831,0.194394,0.190612,0.601632,0.72238,0.590078,0.0001393899097768968
6,0.047747,0.035285,0.14798,0.353789,0.150421,0.518617,0.18694,0.188744,0.187842,0.604762,0.740718,0.596344,0.00018086682856011701
7,0.041916,0.034534,0.145134,0.372623,0.149723,0.525173,0.184196,0.187454,0.185825,0.619056,0.746217,0.600228,0.00022815850039803627
8,0.036303,0.033968,0.145496,0.372136,0.147319,0.54082,0.184267,0.184339,0.184303,0.616633,0.754708,0.602299,0.0002804540656743162
9,0.031256,0.034248,0.143729,0.374195,0.148499,0.531731,0.183965,0.186155,0.18506,0.625268,0.754573,0.607633,0.0003368568683743109
10,0.027427,0.033234,0.141353,0.391053,0.14666,0.546818,0.18147,0.183132,0.182301,0.640717,0.758467,0.613329,0.0003963998300848386
11,0.02446,0.033489,0.143706,0.362023,0.143877,0.561162,0.185745,0.18021,0.182978,0.618547,0.75973,0.605665,0.0004580620314513518
12,0.021581,0.030697,0.132918,0.455825,0.141036,0.568068,0.171548,0.178786,0.175167,0.687181,0.775561,0.633266,0.0005207862167880292
13,0.019727,0.034697,0.144124,0.364211,0.149726,0.52691,0.185427,0.187111,0.186269,0.63983,0.781733,0.607063,0.0005834969217080005
14,0.017884,0.035485,0.145516,0.30619,0.143126,0.548018,0.193703,0.182889,0.188296,0.607074,0.758931,0.64761,0.0006451189129586542
15,0.017041,0.033653,0.143685,0.312136,0.136956,0.593181,0.192871,0.173511,0.183191,0.631679,0.792503,0.608565,0.0007045956242939346
16,0.013768,0.030745,0.13868,0.417114,0.136307,0.595053,0.177545,0.173111,0.175328,0.65759,0.798718,0.647455,0.0007609072722834798
17,0.012493,0.034207,0.149907,0.237439,0.128942,0.632781,0.203073,0.16485,0.183962,0.609446,0.805733,0.605354,0.0008130883414462415
18,0.011254,0.031911,0.138701,0.420575,0.14036,0.561017,0.177017,0.18024,0.178628,0.668782,0.799555,0.630988,0.0008602441389097313
19,0.010407,0.035591,0.152343,0.232844,0.13626,0.598741,0.203684,0.172321,0.188003,0.605035,0.804432,0.596499,0.0009015661347498976
20,0.01013,0.031174,0.145637,0.347719,0.128433,0.634178,0.187816,0.164536,0.176176,0.645633,0.810189,0.624773,0.0009363458249872634
21,0.009337,0.031227,0.14762,0.305062,0.124308,0.663906,0.19386,0.157709,0.175785,0.63592,0.818184,0.618611,0.0009639868795453855
22,0.008221,0.028766,0.135751,0.41666,0.12701,0.648854,0.177614,0.161202,0.169408,0.673048,0.81591,0.651442,0.0009840153668836111
23,0.007564,0.032475,0.14875,0.298465,0.12927,0.634992,0.194778,0.164353,0.179566,0.609793,0.810406,0.62524,0.0009960878799933114
24,0.007183,0.034742,0.151628,0.212425,0.130096,0.636616,0.206377,0.163987,0.185182,0.609507,0.813685,0.624463,0.000999999508252785
25,0.009053,0.030433,0.142726,0.381335,0.129735,0.629637,0.182913,0.165554,0.174233,0.665069,0.812394,0.645073,0.0009991736005426606
26,0.007741,0.031668,0.146033,0.317194,0.1276,0.643114,0.192161,0.162514,0.177337,0.629675,0.818291,0.623168,0.0009967771143015234
27,0.006924,0.030548,0.14177,0.352695,0.127874,0.647445,0.187099,0.161525,0.174312,0.656611,0.819647,0.64528,0.0009928175897617035
28,0.006163,0.03021,0.141219,0.359185,0.127571,0.651844,0.186158,0.160514,0.173336,0.654662,0.815389,0.626172,0.0009873074850522854
29,0.005761,0.030391,0.142754,0.36179,0.127162,0.645041,0.185779,0.162075,0.173927,0.655371,0.819863,0.619595,0.0009802641370012276
30,0.005624,0.030597,0.142955,0.353767,0.129173,0.645335,0.186943,0.162008,0.174476,0.655682,0.811096,0.618249,0.0009717097065872864
31,0.005534,0.029736,0.140553,0.389528,0.128031,0.642466,0.181697,0.162662,0.17218,0.67803,0.816931,0.642846,0.0009616711092133787
32,0.005413,0.031827,0.145724,0.303742,0.127667,0.648661,0.194044,0.161246,0.177645,0.639756,0.818328,0.635959,0.0009501799300207658
33,0.005467,0.030649,0.140846,0.398243,0.134067,0.611439,0.180396,0.169573,0.174984,0.662707,0.801349,0.631505,0.0009372723245105149
34,0.005845,0.031095,0.143764,0.332896,0.127906,0.64714,0.189938,0.161595,0.175767,0.670161,0.819013,0.64326,0.0009229889047849151
35,0.006076,0.029214,0.138971,0.407796,0.126929,0.643239,0.178958,0.162486,0.170722,0.671051,0.819207,0.649733,0.0009073746117667796
36,0.005628,0.031164,0.146695,0.325338,0.12831,0.650778,0.191011,0.16076,0.175885,0.665731,0.817832,0.637823,0.0008904785737986755
37,0.005367,0.029071,0.139278,0.392488,0.125674,0.658273,0.181256,0.159025,0.170141,0.678083,0.816511,0.655947,0.0008723539520669821
